matrix           0
-        144,        593,-       3342,-     441148,    2536879,
matrix          54
      27874,-       5030,-       7656,        727,-        490,
-       5030,      14233,-       4499,-       1732,-       2525,
-       7659,-       4499,      21003,-       1710,-        504,
        725,-       1732,-       1710,    3285952,-     553526,
-        493,-       2526,-        504,-     553526,    2876721,
matrix          55
       4663,        511,-       1780,-       1363,-        615,
        513,       2747,        540,         85,          9,
-       1779,        540,       5118,        571,       1819,
-       1363,         86,        571,    1206876,     121442,
-        613,         11,       1820,     121442,    1208329,
matrix          56
       4778,       2392,-       1938,        435,        701,
         92,       1907,        669,-        353,        436,
-       1813,-       3374,       3377,        930,-        977,
     458954,     852153,-     852551,     852629,     317965,
-     464456,-     861848,     862917,-     863117,     863126,
matrix          57
       4067,        189,-       1663,        901,-         22,
        190,       2453,        209,-        394,        676,
-       1662,        208,       4740,        149,-        661,
        900,-        394,        149,    1127185,      46691,
-         20,        676,-        661,      46691,    1164115,
matrix          58
       3977,        105,-       1651,-        783,-        574,
        107,       2387,         43,-        657,-         18,
-       1651,         43,       4672,        313,        291,
-        783,-        656,        314,    1137131,      26967,
-        573,-         17,        291,      26967,    1146639,
matrix          59
       4275,-         45,-       1771,        328,-        246,
-         45,       2535,-         47,-        449,        262,
-       1771,-         47,       4949,         80,-        249,
        328,-        449,         80,    1151098,-       8894,
-        246,        262,-        249,-       8894,    1186894,
matrix          60
       5191,-        188,-       2040,        570,-        134,
-        187,       2959,-        239,-        450,-        220,
-       2040,-        239,       5504,-        374,-        550,
        569,-        450,-        374,    1241692,-      48775,
-        134,-        220,-        550,-      48775,    1272316,
matrix          61
       6414,-        404,-       2416,        627,-        204,
-        403,       3572,-        450,-        375,-        489,
-       2417,-        450,       6423,-        584,-        145,
        626,-        376,-        584,    1393286,-      88754,
-        205,-        489,-        146,-      88754,    1401325,
matrix          62
       8749,-        831,-       3004,        540,        210,
-        830,       4550,-        687,-        746,        965,
-       3006,-        687,       7556,        625,-       2150,
        539,-        746,        625,    1663683,-     141692,
        210,        964,-       2151,-     141692,    1554863,
matrix          63
      12241,-       1358,-       3824,        518,-        198,
-       1357,       6072,-       1147,-        387,        289,
-       3824,-       1147,       9299,         89,-        304,
        517,-        387,         89,    2025641,-     200307,
-        199,        288,-        304,-     200307,    1776026,
matrix          64
      17247,-       2549,-       4877,       1096,-        758,
-       2548,       8050,-       1758,-       1155,        465,
-       4878,-       1758,      11532,        159,-        434,
       1095,-       1155,        159,    2452966,-     318649,
